ID,Contract ID,Salary,Department ID,Position ID,Manager ID,Vacation Days,Order ID,Date
1,1,49474.62,3,9,6827,22,26,8/5/2023
2,2,73577.87,5,8,8539,26,28,12/30/2022
3,3,95212.65,1,6,2543,25,44,12/20/2022
4,4,117894.63,2,6,6068,17,7,12/8/2022
5,5,77217.32,4,9,9523,21,32,10/22/2022
6,6,55469.88,5,9,9987,29,46,1/4/2023
7,7,39047.35,4,7,6827,14,29,7/7/2023
8,8,47470.58,3,8,7326,24,5,7/7/2023
9,9,50473.48,2,6,2816,21,6,11/21/2022
10,10,46149.74,5,4,5084,16,21,5/29/2023
11,11,31273.35,4,4,1913,28,39,5/18/2023
12,12,78072.16,4,10,8948,23,10,1/11/2023
13,13,54688.02,1,7,9901,27,5,7/4/2023
14,14,117686.54,4,4,5595,17,9,4/16/2023
15,15,79802.31,3,7,9944,18,18,3/16/2023
16,16,92767.57,4,1,5595,15,40,1/9/2023
17,17,41365.15,3,6,2243,15,41,1/23/2023
18,18,108161.51,3,8,1123,23,38,10/12/2022
19,19,74179.08,1,7,2243,29,36,5/20/2023
20,20,108544.78,2,7,5791,17,46,3/1/2023
21,21,81665.78,3,3,7735,17,21,7/16/2023
22,22,72245.73,4,8,9702,21,25,5/15/2023
23,23,69642.19,4,1,6382,18,39,11/27/2022
24,24,46592.73,3,3,8665,26,34,5/22/2023
25,25,34623.9,4,9,4552,28,19,3/16/2023
26,26,114695.72,5,10,6202,25,30,4/5/2023
27,27,72995.63,1,6,3769,27,33,10/24/2022
28,28,103990.41,4,2,7246,18,39,6/18/2023
29,29,66063.67,1,8,8658,27,28,12/4/2022
30,30,36667.4,3,2,4079,17,7,9/13/2023
31,31,86650.11,3,9,7246,29,45,5/21/2023
32,32,34824.82,3,8,7457,27,8,2/19/2023
33,33,43427.78,1,1,6030,22,42,7/30/2023
34,34,80655.56,4,3,3769,15,42,7/16/2023
35,35,57345.2,5,7,1298,25,50,5/8/2023
36,36,119452.63,1,3,4079,20,36,9/14/2023
37,37,40660.64,5,2,9944,28,47,7/1/2023
38,38,98799.91,4,8,9235,28,14,7/15/2023
39,39,84568.59,4,5,8539,21,28,6/22/2023
40,40,101166.67,1,6,8679,25,29,10/30/2022
41,41,50311.84,2,10,3451,17,15,7/27/2023
42,42,77031.53,5,7,9523,25,27,3/11/2023
43,43,70546.3,3,2,7182,25,22,10/25/2022
44,44,69844.89,5,6,5214,15,30,5/8/2023
45,45,107415,4,9,2220,26,26,11/26/2022
46,46,119102.81,4,7,4255,22,27,8/13/2023
47,47,57484.22,1,6,7735,20,47,1/30/2023
48,48,85892.46,2,8,6202,17,7,11/28/2022
49,49,84866.78,3,9,2463,28,21,6/11/2023
50,50,96608.04,5,1,2956,16,28,1/27/2023
51,51,115283.12,2,10,9306,20,21,8/5/2023
52,52,48700.91,3,2,2956,14,43,12/30/2022
53,53,48992.27,4,4,6342,15,17,12/20/2022
54,54,89438.53,4,5,4950,24,24,12/8/2022
55,55,44135.14,1,4,2505,21,10,10/22/2022
56,56,45643.22,1,2,5283,18,44,1/4/2023
57,57,36755.84,5,7,2542,20,31,7/7/2023
58,58,30240.82,2,2,4057,16,5,7/7/2023
59,59,70545.33,2,2,8899,20,6,11/21/2022
60,60,83443.01,3,8,6520,20,6,5/29/2023
61,61,56213.34,5,3,9872,21,6,5/18/2023
62,62,50832.86,1,5,6031,24,28,1/11/2023
63,63,93626.02,5,1,2243,18,7,7/4/2023
64,64,93268.88,4,1,2080,14,48,4/16/2023
65,65,70862.82,1,6,7246,22,48,3/16/2023
66,66,91864.64,2,1,2435,18,24,1/9/2023
67,67,113151.99,1,5,2585,18,9,1/23/2023
68,68,100904.52,4,6,7326,22,36,10/12/2022
69,69,86255.22,1,6,9872,19,4,5/20/2023
70,70,89506.47,2,7,5886,17,38,3/1/2023
71,71,114030.16,4,3,8899,14,36,7/16/2023
72,72,68262.51,3,4,5816,18,36,5/15/2023
73,73,79010.61,5,9,6564,14,22,11/27/2022
74,74,88287.13,3,7,1251,25,43,5/22/2023
75,75,111757.03,4,10,1930,21,8,3/16/2023
76,76,104396.8,4,3,9523,24,27,4/5/2023
77,77,36426.89,4,3,5084,14,23,10/24/2022
78,78,44933.05,2,3,2243,19,43,6/18/2023
79,79,57685.06,4,2,7246,22,49,12/4/2022
80,80,97406.19,5,10,4653,15,28,9/13/2023
81,81,81228.63,2,7,9332,18,47,5/21/2023
82,82,55974.95,4,10,7621,27,4,2/19/2023
83,83,41191.83,2,4,3354,30,19,7/30/2023
84,84,91981.02,5,8,7287,17,39,7/16/2023
85,85,92976.03,5,10,5214,16,20,5/8/2023
86,86,114840.86,2,3,9235,29,23,9/14/2023
87,87,75042.5,1,4,7182,28,7,7/1/2023
88,88,74441.57,3,8,2220,25,37,7/15/2023
89,89,37239.77,4,5,7182,30,33,6/22/2023
90,90,33587.47,3,8,9702,17,14,10/30/2022
91,91,68882.58,5,5,6124,28,10,7/27/2023
92,92,59008.94,3,1,8899,30,43,3/11/2023
93,93,52533.11,1,8,6031,21,31,10/25/2022
94,94,38219.42,3,5,9702,15,15,5/8/2023
95,95,116572,3,9,8665,30,7,11/26/2022
96,96,105236.28,5,3,5663,23,23,8/13/2023
97,97,81767.92,5,2,7487,28,36,1/30/2023
98,98,115570.77,4,8,5358,14,24,11/28/2022
99,99,119961.52,2,6,9987,15,8,6/11/2023
100,100,90505.34,4,10,1242,29,49,1/27/2023
